,Time,Surface,Age,Sex,Vehicle
486,1,0,53,0,0
487,1,0,53,1,7
488,2,0,63,0,0
489,2,0,28,1,0
490,1,0,29,0,3
491,2,0,19,1,6
492,2,0,38,1,2
493,2,0,37,0,0
494,2,0,47,1,3
495,2,0,33,1,3
496,1,0,50,1,0
497,2,0,30,1,3
498,2,0,44,1,3
499,2,0,72,0,0
500,2,0,40,1,0
501,0,0,25,1,3
502,0,0,21,0,0
503,1,0,34,0,0
504,1,0,50,1,0
505,2,0,26,0,0
506,2,0,37,0,0
507,0,0,17,1,8
508,2,0,15,1,6
509,1,0,23,1,6
510,1,0,36,1,0
511,1,0,51,1,0
512,2,0,52,1,11
513,2,0,39,1,0
514,2,0,34,1,0
515,2,0,32,1,0
516,0,0,37,1,0
517,0,0,25,1,5
518,1,0,31,0,0
519,2,0,6,1,3
520,0,0,36,1,0
521,0,0,28,0,0
522,1,0,45,1,8
523,1,0,33,0,0
524,0,0,18,1,0
525,0,0,48,1,0
526,0,0,23,1,0
527,0,0,26,1,0
528,1,0,21,1,0
529,2,0,23,1,0
530,1,1,46,1,1
531,1,1,52,0,0
532,2,0,32,0,0
533,2,0,23,1,3
534,2,1,64,1,0
535,2,1,20,1,3
536,1,0,50,1,0
537,2,1,15,1,3
538,1,0,67,0,0
539,2,1,32,1,0
540,2,0,23,0,3
541,0,0,50,1,0
542,2,0,61,0,0
543,2,0,78,1,4
544,2,1,29,1,0
545,2,1,48,0,0
546,1,0,68,1,0
547,0,1,30,1,0
548,2,0,46,0,8
549,1,0,62,0,0
550,2,0,50,0,0
551,1,0,75,0,0
552,1,0,26,1,3
553,2,0,34,0,0
554,2,0,17,1,0
555,1,0,60,0,0
556,1,0,41,0,0
557,1,0,24,1,0
558,2,0,74,1,3
559,2,0,22,0,0
560,1,0,33,1,0
561,0,0,20,1,0
562,2,0,25,0,0
563,2,0,18,1,6
564,2,0,23,0,0
565,1,0,60,0,0
566,1,0,44,0,0
567,1,0,36,0,0
568,0,0,29,1,0
569,0,1,18,0,0
570,1,0,19,1,0
571,1,1,20,1,8
572,2,0,24,0,0
573,1,1,34,1,0
574,1,1,52,1,0
575,2,0,38,0,0
576,2,0,32,1,3
577,0,1,26,1,0
578,2,0,17,0,0
579,2,0,58,0,0
580,2,0,37,1,0
581,1,0,26,1,0
582,1,0,45,1,0
583,1,0,18,0,0
584,1,0,19,1,0
585,1,0,40,1,3
586,2,1,21,1,0
587,2,1,33,1,0
588,0,0,36,1,11
589,2,0,29,1,0
590,2,0,36,0,0
591,2,0,24,1,0
592,2,0,15,1,3
593,0,0,20,1,3
594,0,0,34,1,0
595,2,0,19,1,0
596,2,0,41,1,0
597,2,0,41,1,0
598,2,0,60,1,0
599,2,0,12,1,3
600,2,0,47,1,3
601,2,0,22,1,0
602,1,0,37,1,5
603,2,0,25,1,0
604,2,0,17,1,3
605,2,0,24,0,0
606,2,0,20,0,0
607,1,0,38,0,0
608,1,0,31,0,8
609,1,0,55,0,0
610,1,0,40,1,0
611,1,0,30,1,0
612,2,0,27,1,3
613,1,1,19,0,0
614,2,0,51,1,0
615,1,1,47,0,0
616,1,1,79,1,0
617,2,1,17,1,6
618,1,1,45,1,0
619,1,1,30,0,0
620,2,1,19,0,0
621,2,1,66,0,0
622,1,1,27,1,0
623,0,4,24,0,0
624,2,1,35,1,0
625,1,0,22,1,0
626,2,1,43,1,0
627,2,1,40,0,0
628,2,1,16,1,3
629,2,1,24,1,0
630,1,0,38,0,0
631,1,0,31,1,8
632,2,0,59,1,3
633,2,0,35,1,0
634,1,0,75,0,0
635,1,0,50,1,11
636,1,0,44,1,7
637,1,0,56,1,7
638,1,0,29,1,7
639,1,1,28,0,0
640,1,1,19,1,0
641,1,1,33,1,0
642,2,1,33,0,0
643,0,1,36,1,7
644,2,0,9,1,3
645,2,0,42,1,5
646,2,0,40,1,3
647,0,0,18,0,0
648,1,0,23,1,9
649,1,0,40,1,0
650,1,0,24,0,0
651,0,0,25,0,0
652,2,0,50,1,0
653,2,0,26,1,0
654,2,0,23,1,0
655,2,0,19,0,0
656,2,0,21,1,0
657,2,0,19,1,6
658,1,0,44,0,0
659,0,0,29,1,0
660,1,0,43,1,3
661,2,0,20,1,3
662,0,0,19,1,0
663,2,0,18,0,0
664,1,0,10,1,3
665,1,0,38,0,0
666,2,0,17,1,2
667,2,0,59,0,0
668,2,0,47,0,0
669,1,0,18,1,3
670,1,0,21,1,0
671,2,0,32,0,0
672,2,0,48,1,0
673,2,0,43,1,8
674,2,0,29,1,1
675,2,0,45,1,8
676,1,0,41,0,0
677,1,0,18,1,6
678,0,0,18,1,0
679,1,0,53,1,0
680,2,0,27,1,0
681,2,0,49,1,1
682,2,0,88,1,0
683,2,0,74,1,0
684,2,0,38,1,6
685,2,0,20,1,0
686,0,0,38,1,0
687,1,0,28,1,6
688,1,0,26,1,3
689,1,0,23,1,0
690,2,0,31,1,0
691,2,0,32,1,3
692,2,0,26,1,8
693,1,0,33,1,3
694,2,0,20,0,6
695,1,0,51,1,3
696,1,0,57,1,0
697,1,0,55,0,0
698,2,0,39,1,3
699,1,0,39,1,3
700,1,0,11,1,3
701,1,0,26,1,3
702,2,1,25,1,1
703,2,0,15,1,3
704,1,0,38,1,0
705,1,0,19,0,0
706,0,1,20,1,0
707,1,1,21,0,0
708,1,0,26,0,0
709,1,0,52,1,0
710,0,0,26,1,0
711,2,1,46,1,0
712,0,0,19,1,0
713,1,0,47,1,0
714,1,0,61,1,0
715,2,0,37,0,0
716,1,0,29,0,0
717,1,0,16,1,2
718,2,0,18,1,6
719,1,0,29,0,0
720,1,0,45,0,0
721,2,0,47,0,0
722,2,0,59,1,8
723,1,1,25,1,8
724,2,0,37,1,0
725,2,0,10,1,3
726,2,0,26,1,0
727,2,0,56,0,0
728,2,0,32,0,0
729,2,0,58,1,0
730,0,0,47,1,1
731,2,0,22,1,0
732,2,0,30,1,0
733,2,0,28,1,0
734,1,0,19,1,6
735,1,0,27,0,0
736,1,0,33,0,0
737,2,0,82,1,0
738,1,0,38,1,3
739,0,0,28,1,0
740,1,0,9,1,3
741,2,0,14,1,3
742,0,0,22,1,0
743,2,0,62,1,0
744,1,0,33,0,0
745,1,0,53,1,8
746,1,0,53,0,3
747,1,0,32,0,0
748,1,0,33,1,6
749,2,1,46,1,0
750,2,1,59,1,0
751,2,0,32,1,0
752,1,1,21,1,0
753,0,0,38,1,1
754,0,0,26,1,0
755,1,0,72,1,0
756,2,0,55,0,3
757,1,0,66,1,3
758,2,0,47,0,0
759,2,0,39,0,0
760,2,0,38,1,0
761,2,0,40,1,3
762,2,0,19,1,3
763,2,0,18,1,6
764,1,1,65,0,0
765,2,0,18,1,3
766,2,1,31,1,0
767,2,0,48,1,0
768,2,0,44,0,0
769,2,0,29,1,5
770,2,0,21,0,0
771,1,0,53,0,3
772,1,0,52,1,0
773,0,0,22,0,0
774,1,0,50,1,0
775,0,0,31,1,3
776,2,0,56,1,0
777,2,0,26,0,0
778,1,0,23,1,3
779,2,0,13,1,3
780,2,0,18,1,6
781,0,0,57,1,0
782,0,0,25,1,0
783,1,1,22,1,3
784,1,0,19,1,6
785,2,0,31,1,0
786,0,0,34,0,0
787,2,0,19,1,0
788,2,0,75,1,0
789,2,0,19,1,0
790,0,1,14,1,0
791,2,0,70,1,0
792,1,0,60,1,8
793,2,0,87,0,0
794,0,0,24,1,8
795,0,0,26,1,0
796,1,0,21,1,0
797,2,0,14,1,3
798,1,0,30,1,3
799,2,0,31,1,0
800,0,0,46,1,0
801,2,0,24,1,5
802,1,0,17,1,3
803,1,0,31,1,3
804,1,0,36,0,0
805,1,0,44,0,0
806,1,0,53,1,8
807,2,0,28,1,0
808,2,0,35,0,0
809,1,0,44,1,0
810,1,0,39,1,11
811,0,0,36,1,0
812,1,0,47,1,0
813,1,0,46,0,3
814,2,0,26,1,6
815,1,0,45,1,0
816,1,0,42,1,12
817,0,0,19,1,6
818,0,0,18,1,0
819,2,0,10,1,3
820,2,0,42,0,0
821,1,0,59,1,13
822,1,0,46,0,0
823,1,0,25,1,3
824,1,0,30,1,0
825,2,0,24,1,8
826,1,1,45,1,3
827,1,0,37,0,0
828,1,0,29,1,3
829,1,0,55,1,0
830,0,0,47,1,11
831,2,0,24,0,0
832,2,0,73,0,0
833,2,0,22,1,3
834,2,0,24,0,0
835,2,0,45,1,3
836,2,0,21,0,0
837,1,0,22,0,0
838,0,0,26,1,3
839,2,1,47,1,0
840,2,1,17,1,0
841,2,1,38,1,0
842,2,1,18,1,0
843,2,0,41,0,0
844,1,0,32,0,0
845,1,0,89,1,0
846,1,0,55,1,0
847,1,0,25,1,0
848,1,0,35,1,8
849,1,0,52,1,8
850,2,0,58,1,0
851,1,0,28,1,0
852,1,0,21,0,0
853,1,0,33,1,4
854,2,0,41,0,0
855,2,0,25,1,0
856,1,0,58,0,4
857,2,0,16,1,2
858,2,0,46,0,0
859,2,0,22,0,0
860,2,0,38,1,7
861,2,0,30,1,3
862,2,0,31,1,6
863,1,0,46,1,3
864,2,1,24,1,0
865,0,1,18,1,0
866,2,1,27,1,8
867,2,1,38,0,0
868,1,0,40,0,3
869,1,0,33,0,0
870,0,0,44,1,0
871,1,0,56,1,3
872,1,0,46,1,9
873,1,0,37,1,9
874,2,0,28,0,0
875,2,0,35,1,0
876,2,0,26,1,0
877,1,0,54,1,8
878,2,1,17,1,5
879,1,1,48,1,0
880,0,0,21,0,0
881,2,0,17,1,2
882,1,0,20,0,0
883,2,0,33,1,7
884,2,0,52,1,7
885,2,0,41,1,3
886,0,0,33,0,0
887,2,1,48,0,0
888,0,0,42,1,1
889,0,1,32,1,0
890,2,0,49,1,0
891,1,0,59,1,0
892,1,0,31,0,0
893,2,0,32,1,1
894,1,0,57,1,0
895,1,0,35,1,4
896,2,0,19,1,0
897,2,0,55,1,0
898,2,0,42,1,0
899,0,1,28,1,0
900,1,0,42,1,3
901,1,0,45,0,0
902,2,0,19,1,6
903,1,0,21,0,0
904,2,0,63,1,0
905,2,0,17,1,6
906,1,0,38,1,3
907,1,0,30,0,3
908,1,0,30,1,3
909,1,0,41,1,3
