,Time,Surface,Age,Sex,Vehicle,Severity
1289,1635,0,28,1,0,2
1290,820,0,19,1,6,2
1291,750,0,27,0,0,2
1292,750,0,33,0,0,2
1293,1700,0,82,1,0,2
1294,1235,0,38,1,3,1
1295,1,0,28,1,0,2
1296,1313,0,9,1,3,2
1297,1923,0,14,1,3,2
1298,228,0,22,1,0,2
1299,1536,0,62,1,0,2
1300,1209,0,33,0,0,2
1303,1250,0,53,1,8,2
1305,1205,0,53,0,3,2
1306,1358,0,32,0,0,2
1307,1150,0,33,1,6,2
1308,1450,1,46,1,0,2
1309,1450,1,59,1,0,2
1310,1750,0,32,1,0,2
1312,810,1,21,1,0,2
1315,18,0,38,1,1,2
1316,18,0,26,1,0,2
1318,1355,0,72,1,0,2
1320,1830,0,55,0,3,2
1321,700,0,66,1,3,2
1322,1730,0,47,0,0,2
1323,1730,0,39,0,0,2
1325,1650,0,38,1,0,2
1326,1900,0,40,1,3,2
1327,2040,0,19,1,3,2
1330,2115,0,18,1,6,1
1331,1315,1,65,0,0,2
1332,1545,0,18,1,3,2
1333,1710,1,31,1,0,2
1334,1549,0,48,1,0,2
1335,1549,0,44,0,0,2
1338,1709,0,29,1,5,2
1340,2042,0,21,0,0,2
1341,815,0,53,0,3,2
1342,1022,0,52,1,0,2
1343,2200,0,22,0,0,2
1346,805,0,50,1,0,2
1347,2330,0,31,1,3,2
1348,1600,0,56,1,0,2
1349,1600,0,26,0,0,2
1352,1035,0,23,1,3,1
1353,1715,0,13,1,3,2
1354,1833,0,18,1,6,1
1362,2320,0,57,1,0,2
1363,2320,0,25,1,0,2
1365,1150,1,22,1,3,2
1366,1300,0,19,1,6,2
1368,1930,0,31,1,0,2
1373,2312,0,34,0,0,2
1374,2050,0,19,1,0,2
1376,1720,0,75,1,0,2
1377,1740,0,19,1,0,2
1378,2230,1,14,1,0,1
1379,1425,0,70,1,0,2
1380,1255,0,60,1,8,1
1381,1510,0,87,0,0,2
1382,1,0,24,1,8,2
1384,2330,0,26,1,0,2
1385,700,0,21,1,0,2
1386,1915,0,14,1,3,2
1387,845,0,30,1,3,1
1388,1720,0,31,1,0,2
1390,2225,0,46,1,0,2
1391,1645,0,24,1,5,2
1392,1330,0,17,1,3,2
1395,755,0,31,1,3,2
1398,910,0,36,0,0,2
1401,1300,0,44,0,0,2
1402,1345,0,53,1,8,1
1403,2115,0,28,1,0,2
1404,1730,0,35,0,0,2
1405,855,0,44,1,0,2
1406,1235,0,39,1,11,2
1408,2350,0,36,1,0,2
1410,1150,0,47,1,0,2
1411,1150,0,46,0,3,2
1412,1505,0,26,1,6,2
1415,1225,0,45,1,0,2
1418,1214,0,42,1,12,2
1420,35,0,19,1,6,2
1421,215,0,18,1,0,2
1423,1700,0,10,1,3,2
1424,1720,0,42,0,0,1
1427,1056,0,59,1,13,2
1428,1056,0,46,0,0,2
1432,935,0,25,1,3,2
1433,1105,0,30,1,0,2
1437,1635,0,24,1,8,2
1438,945,1,45,1,3,2
1439,637,0,37,0,0,2
1440,1300,0,29,1,3,2
1441,1215,0,55,1,0,2
1443,136,0,47,1,11,3
1445,1545,0,24,0,0,2
1448,1852,0,73,0,0,2
1454,1815,0,22,1,3,2
1455,1910,0,24,0,0,2
1456,1605,0,45,1,3,2
1457,2140,0,21,0,0,2
1459,845,0,22,0,0,2
1460,2340,0,26,1,3,2
1461,1447,1,47,1,0,2
1462,2035,1,17,1,0,2
1463,2035,1,38,1,0,2
1464,2035,1,18,1,0,2
1467,1920,0,41,0,0,2
1470,830,0,32,0,0,2
1472,1135,0,89,1,0,1
1473,1135,0,55,1,0,2
1476,750,0,25,1,0,2
1477,1315,0,35,1,8,2
1479,800,0,52,1,8,1
1480,1516,0,58,1,0,2
1484,630,0,28,1,0,2
1485,1150,0,21,0,0,2
1486,1207,0,33,1,4,2
1487,2140,0,41,0,0,2
1488,1853,0,25,1,0,2
1492,1340,0,58,0,4,2
1493,2130,0,16,1,2,2
1494,1600,0,46,0,0,2
1495,1600,0,22,0,0,2
1496,1600,0,38,1,7,2
1498,1430,0,30,1,3,2
1499,1530,0,31,1,6,2
1500,1000,0,46,1,3,2
1501,1630,1,24,1,0,2
1503,110,1,18,1,0,2
1506,1525,1,27,1,8,2
1507,1814,1,38,0,0,2
1508,855,0,40,0,3,2
1509,1005,0,33,0,0,2
1513,2350,0,44,1,0,2
1515,1035,0,56,1,3,2
1516,1002,0,46,1,9,2
1517,1002,0,37,1,9,2
1519,1730,0,28,0,0,2
1522,2055,0,35,1,0,2
1523,2055,0,26,1,0,2
1525,753,0,54,1,8,1
1526,1655,1,17,1,5,2
1530,743,1,48,1,0,2
1535,545,0,21,0,0,2
1536,1840,0,17,1,2,2
1538,1330,0,20,0,0,2
1540,1540,0,33,1,7,2
1541,1540,0,52,1,7,2
1542,1700,0,41,1,3,2
1543,57,0,33,0,0,2
1546,2117,1,48,0,0,2
1549,200,0,42,1,1,2
1551,2330,1,32,1,0,2
1552,1400,0,49,1,0,2
1553,1240,0,59,1,0,2
1554,1240,0,31,0,0,2
1556,1630,0,32,1,1,2
1558,845,0,57,1,0,2
1559,845,0,35,1,4,2
1564,1650,0,19,1,0,2
1565,1925,0,55,1,0,2
1567,1800,0,42,1,0,2
1568,40,1,28,1,0,2
1570,1205,0,42,1,3,1
1571,1205,0,45,0,0,2
