1st Road Class,Accident Date,Age of Casualty,Casualty Class,Casualty Severity,Easting,Northing,Lighting Conditions,Number of Vehicles,Reference Number,Road Surface,Sex of Casualty,Time (24hr),Type of Vehicle,Weather Conditions
A,10-Jan-09,48,Passenger,Slight,429273,430090,Daylight: street lights present,2,47309,Dry,Female,1122,Car,Fine without high winds
A(M),11-Jan-09,20,Driver,Slight,443242,439661,Darkness: street lights present and lit,1,20209,Wet / Damp,Male,2332,Car,Fine without high winds
A,11-Jan-09,46,Driver,Serious,431914,430363,Darkness: street lights present and lit,1,20509,Wet / Damp,Male,210,Car,Fine without high winds
A,11-Jan-09,44,Passenger,Serious,431914,430363,Darkness: street lights present and lit,1,20509,Wet / Damp,Female,210,Car,Fine without high winds
A,11-Jan-09,24,Driver,Slight,434345,434354,Daylight: street lights present,2,22609,Dry,Female,1335,Car,Fine without high winds
A,11-Jan-09,13,Passenger,Slight,434345,434354,Daylight: street lights present,2,22609,Dry,Female,1335,Car,Fine without high winds
Unclassified,11-Jan-09,20,Driver,Slight,433753,441992,Darkness: no street lighting,2,24409,Wet / Damp,Male,1840,Car,Fine without high winds
Unclassified,11-Jan-09,18,Passenger,Slight,433753,441992,Darkness: no street lighting,2,24409,Wet / Damp,Male,1840,Car,Fine without high winds
Unclassified,11-Jan-09,20,Pedestrian,Serious,430226,433202,Darkness: street lights present and lit,1,30009,Dry,Female,158,Taxi/Private hire car,Fine without high winds
Unclassified,12-Jan-09,20,Driver,Slight,438099,431586,Darkness: no street lighting,1,23009,Wet / Damp,Male,735,Car,Fine without high winds
B,12-Jan-09,7,Pedestrian,Slight,432151,435283,Darkness: street lights present and lit,1,25009,Dry,Male,1800,Car,Fine without high winds
Unclassified,12-Jan-09,23,Driver,Slight,438554,430035,Darkness: street lights present and lit,2,26909,Dry,Male,1915,Motorcycle over 50cc and up to 125cc,Fine without high winds
Unclassified,12-Jan-09,46,Driver,Slight,425747,431487,Daylight: street lights present,2,35509,Wet / Damp,Male,1240,Goods vehicle over 3.5 tonnes and under 7.5 tonnes mgw,Fine without high winds
A,13-Jan-09,25,Driver,Slight,432192,442256,Darkness: no street lighting,2,23309,Wet / Damp,Female,650,Car,Raining without high winds
A,13-Jan-09,20,Driver,Serious,428956,435470,Daylight: street lights present,2,24709,Dry,Male,1550,Pedal cycle,Fine without high winds
Unclassified,13-Jan-09,38,Driver,Slight,428470,435284,Darkness: street lighting unknown,2,25109,Wet / Damp,Male,2130,Pedal cycle,Fine without high winds
B,14-Jan-09,37,Driver,Slight,426322,428159,Darkness: street lights present and lit,2,26309,Dry,Male,1830,Car,Fine without high winds
A,14-Jan-09,38,Driver,Slight,420436,440143,Darkness: street lights present and lit,2,27209,Frost / Ice,Male,712,Car,Fine without high winds
A,14-Jan-09,26,Driver,Slight,428061,435959,Darkness: street lights present and lit,2,29909,Wet / Damp,Male,845,Pedal cycle,Raining without high winds
Unclassified,14-Jan-09,16,Driver,Serious,424244,428689,Darkness: street lights present and lit,2,35009,Wet / Damp,Male,1737,M/cycle 50cc and under,Fine without high winds
A,14-Jan-09,37,Driver,Serious,418301,441336,Darkness: street lights present and lit,2,37009,Wet / Damp,Male,1753,Pedal cycle,Raining without high winds
A,14-Jan-09,23,Driver,Slight,426868,437527,Daylight: street lights present,2,78509,Dry,Female,1138,Car,Fine without high winds
A,14-Jan-09,56,Driver,Slight,426868,437527,Daylight: street lights present,2,78509,Dry,Male,1138,Car,Fine without high winds
Unclassified,14-Jan-09,53,Driver,Slight,427900,439923,Darkness: street lights present and lit,1,224609,Dry,Male,150,Car,Fine without high winds
A,14-Jan-09,43,Driver,Slight,424579,435155,Daylight: street lights present,2,345809,Dry,Male,1300,Pedal cycle,Fine without high winds
A,15-Jan-09,53,Driver,Slight,431969,435825,Darkness: street lights present and lit,2,34509,Wet / Damp,Female,640,Car,Raining without high winds
Unclassified,15-Jan-09,43,Driver,Slight,431404,435026,Darkness: street lights present and lit,2,36909,Dry,Male,1935,Car,Fine without high winds
A,15-Jan-09,16,Pedestrian,Slight,430459,435623,Daylight: street lights present,4,37209,Wet / Damp,Male,740,Car,Raining without high winds
Unclassified,15-Jan-09,75,Driver,Slight,427887,440270,Daylight: street lights present,2,37309,Wet / Damp,Male,1335,Pedal cycle,Fine without high winds
Unclassified,15-Jan-09,42,Driver,Slight,434107,433901,Daylight: street lights present,2,37409,Dry,Male,910,Car,Fine without high winds
Motorway,15-Jan-09,36,Driver,Slight,428344,431608,Daylight: street lights present,2,42009,Dry,Female,1330,Car,Fine without high winds
A,16-Jan-09,38,Driver,Serious,432998,436045,Darkness: street lights present and lit,1,27309,Wet / Damp,Male,15,Motorcycle over 500cc,Raining without high winds
Unclassified,16-Jan-09,25,Passenger,Slight,430330,433321,Daylight: street lights present,2,30409,Dry,Female,1404,Bus or coach (17 or more passenger seats),Fine without high winds
Unclassified,16-Jan-09,53,Passenger,Slight,430330,433321,Daylight: street lights present,2,30409,Dry,Female,1404,Bus or coach (17 or more passenger seats),Fine without high winds
Unclassified,16-Jan-09,21,Driver,Slight,430189,431710,Daylight: street lights present,1,36509,Dry,Male,1338,Motorcycle over 50cc and up to 125cc,Fine without high winds
Unclassified,16-Jan-09,33,Pedestrian,Slight,424351,438774,Darkness: street lights present and lit,1,77009,Dry,Female,630,Car,Fine without high winds
A,17-Jan-09,90,Driver,Slight,429595,434697,Daylight: street lights present,2,32209,Wet / Damp,Male,1215,Other Vehicle ,Fine without high winds
Unclassified,17-Jan-09,65,Passenger,Slight,435121,433538,Daylight: street lights present,1,33609,Wet / Damp,Female,1115,Bus or coach (17 or more passenger seats),Fine without high winds
Unclassified,17-Jan-09,18,Driver,Slight,434620,441225,Darkness: no street lighting,2,34909,Wet / Damp,Female,2125,Car,Fine without high winds
Unclassified,17-Jan-09,23,Driver,Slight,434620,441225,Darkness: no street lighting,2,34909,Wet / Damp,Male,2125,Car,Fine without high winds
Unclassified,17-Jan-09,17,Passenger,Slight,434620,441225,Darkness: no street lighting,2,34909,Wet / Damp,Female,2125,Car,Fine without high winds
Unclassified,17-Jan-09,17,Passenger,Slight,434620,441225,Darkness: no street lighting,2,34909,Wet / Damp,Male,2125,Car,Fine without high winds
Unclassified,17-Jan-09,69,Passenger,Slight,439996,437096,Daylight: street lights present,1,35909,Dry,Female,1510,Bus or coach (17 or more passenger seats),Fine without high winds
Unclassified,17-Jan-09,19,Pedestrian,Slight,430324,433288,Darkness: street lights present and lit,4,37509,Dry,Male,133,Car,Fine without high winds
Unclassified,17-Jan-09,39,Pedestrian,Serious,431864,429760,Daylight: street lights present,2,39009,Dry,Male,1001,Goods vehicle 3.5 tonnes mgw and under,Fine without high winds
A,17-Jan-09,20,Driver,Slight,429941,425130,Daylight: street lights present,2,39409,Wet / Damp,Male,1505,Car,Fine without high winds
A,17-Jan-09,19,Passenger,Slight,429941,425130,Daylight: street lights present,2,39409,Wet / Damp,Female,1505,Car,Fine without high winds
Unclassified,17-Jan-09,68,Passenger,Slight,434843,436328,Darkness: street lights present and lit,1,43109,Wet / Damp,Male,1742,Bus or coach (17 or more passenger seats),Raining without high winds
B,17-Jan-09,21,Passenger,Slight,432711,434493,Darkness: street lights present and lit,1,47109,Wet / Damp,Male,1645,Car,Raining without high winds
A,17-Jan-09,23,Pedestrian,Slight,431607,435248,Darkness: street lighting unknown,1,171309,Dry,Male,1750,Car,Fine without high winds
Unclassified,18-Jan-09,47,Driver,Slight,430530,440743,Darkness: street lights present and lit,2,35209,Wet / Damp,Male,1825,Car,Fine without high winds
Unclassified,18-Jan-09,30,Pedestrian,Slight,429806,433383,Daylight: street lights present,1,59109,Dry,Male,1510,Car,Fine without high winds
A,19-Jan-09,12,Pedestrian,Slight,432733,427496,Daylight: street lights present,1,39509,Wet / Damp,Male,817,Car,Raining without high winds
Unclassified,19-Jan-09,23,Driver,Slight,436189,434322,Daylight: street lights present,2,40909,Dry,Female,1154,Car,Fine without high winds
Unclassified,19-Jan-09,84,Passenger,Slight,436189,434322,Daylight: street lights present,2,40909,Dry,Female,1154,Bus or coach (17 or more passenger seats),Fine without high winds
Unclassified,19-Jan-09,21,Driver,Slight,436067,436616,Darkness: street lights present and lit,2,41109,Wet / Damp,Male,1800,Car,Raining without high winds
A,19-Jan-09,55,Driver,Slight,440894,433571,Darkness: street lights present and lit,2,41309,Wet / Damp,Female,1655,Car,Raining with high winds
Unclassified,19-Jan-09,37,Driver,Slight,424910,439707,Daylight: street lights present,2,42909,Wet / Damp,Female,902,Car,Raining without high winds
Unclassified,19-Jan-09,34,Driver,Slight,424910,439707,Daylight: street lights present,2,42909,Wet / Damp,Female,902,Car,Raining without high winds
Unclassified,19-Jan-09,61,Pedestrian,Slight,428923,429880,Darkness: street lighting unknown,1,43809,Dry,Female,1715,Car,Fine without high winds
Unclassified,19-Jan-09,53,Driver,Slight,423734,434325,Daylight: street lights present,3,44909,Wet / Damp,Male,750,Car,Raining without high winds
Unclassified,19-Jan-09,23,Driver,Serious,423734,434325,Daylight: street lights present,3,44909,Wet / Damp,Male,750,Motorcycle over 50cc and up to 125cc,Raining without high winds
A,19-Jan-09,58,Driver,Slight,425537,432762,Darkness: street lights present and lit,2,45409,Wet / Damp,Female,1820,Car,Raining without high winds
A,19-Jan-09,27,Passenger,Slight,425537,432762,Darkness: street lights present and lit,2,45409,Wet / Damp,Female,1820,Car,Raining without high winds
A,19-Jan-09,21,Driver,Slight,425537,432762,Darkness: street lights present and lit,2,45409,Wet / Damp,Male,1820,Car,Raining without high winds
A,19-Jan-09,25,Passenger,Slight,425537,432762,Darkness: street lights present and lit,2,45409,Wet / Damp,Male,1820,Car,Raining without high winds
