1st Road Class,Accident Date,Age of Casualty,Casualty Class,Casualty Severity,Easting,Northing,Lighting Conditions,Number of Vehicles,Reference Number,Road Surface,Sex of Casualty,Time (24hr),Type of Vehicle,Weather Conditions
A,06-Dec-12,38,Driver,Slight,420017,434145,Daylight: street lights present,2,120533803,Dry,Female,1040,Car,Fine without high winds
Unclassified,07-Dec-12,26,Driver,Slight,424089,430779,Darkness: street lights present and lit,2,120531375,Wet / Damp,Male,620,Car,Raining without high winds
A,07-Dec-12,28,Driver,Slight,428824,432498,Daylight: street lights present,2,120531417,Dry,Male,756,Pedal cycle,Fine without high winds
B,07-Dec-12,85,Driver,Slight,423200,434666,Daylight: street lights present,2,120531611,Dry,Male,835,Car,Fine without high winds
A,07-Dec-12,23,Driver,Slight,424127,444005,Darkness: street lighting unknown,2,120531651,Dry,Female,730,Car,Fine without high winds
Unclassified,07-Dec-12,33,Driver,Slight,428232,440378,Daylight: street lights present,2,120531738,Wet / Damp,Male,950,Car,Fine without high winds
Unclassified,07-Dec-12,33,Driver,Slight,428232,440378,Daylight: street lights present,2,120531738,Wet / Damp,Female,950,Car,Fine without high winds
Unclassified,07-Dec-12,31,Passenger,Slight,428232,440378,Daylight: street lights present,2,120531738,Wet / Damp,Female,950,Car,Fine without high winds
Unclassified,07-Dec-12,72,Driver,Slight,428092,432879,Daylight: street lights present,2,120531887,Dry,Female,1130,Car,Fine without high winds
A,07-Dec-12,45,Driver,Serious,420509,440227,Darkness: street lights present and lit,2,120532553,Wet / Damp,Male,1849,Pedal cycle,Fine without high winds
A,07-Dec-12,19,Pedestrian,Slight,427733,429977,Daylight: street lights present,1,120532578,Dry,Male,1555,Car,Fine without high winds
A,07-Dec-12,26,Driver,Slight,427497,425517,Darkness: street lights present and lit,2,120532588,Dry,Male,1747,Car,Fine without high winds
A,07-Dec-12,13,Passenger,Slight,427497,425517,Darkness: street lights present and lit,2,120532588,Dry,Female,1747,Car,Fine without high winds
A,07-Dec-12,31,Passenger,Slight,427497,425517,Darkness: street lights present and lit,2,120532588,Dry,Female,1747,Car,Fine without high winds
A,07-Dec-12,34,Passenger,Serious,427497,425517,Darkness: street lights present and lit,2,120532588,Dry,Female,1747,Car,Fine without high winds
A,07-Dec-12,14,Passenger,Slight,427497,425517,Darkness: street lights present and lit,2,120532588,Dry,Female,1747,Car,Fine without high winds
A,07-Dec-12,48,Driver,Slight,427497,425517,Darkness: street lights present and lit,2,120532588,Dry,Male,1747,Car,Fine without high winds
Unclassified,07-Dec-12,22,Pedestrian,Slight,429983,434064,Darkness: street lights present and lit,1,120532843,Dry,Male,2315,Car,Fine without high winds
A,07-Dec-12,44,Driver,Slight,436919,429091,Darkness: street lights present and lit,1,120532911,Wet / Damp,Male,2310,Minibus (8 – 16 passenger seats),Fine without high winds
A,07-Dec-12,33,Driver,Slight,432525,427554,Daylight: street lights present,3,120533240,Dry,Female,1009,Car,Fine without high winds
A,07-Dec-12,35,Passenger,Slight,432525,427554,Daylight: street lights present,3,120533240,Dry,Male,1009,Car,Fine without high winds
Unclassified,07-Dec-12,32,Driver,Slight,432179,435624,Daylight: street lights present,2,120533467,Dry,Male,1500,Car,Fine without high winds
B,07-Dec-12,27,Passenger,Slight,425973,435573,Darkness: street lighting unknown,2,120533746,Dry,Female,1818,Car,Fine without high winds
A,08-Dec-12,24,Driver,Slight,428717,435613,Daylight: street lights present,2,120533571,Dry,Female,1340,Pedal cycle,Fine without high winds
Unclassified,08-Dec-12,49,Pedestrian,Slight,430142,433764,Daylight: street lights present,1,120535924,Dry,Female,1340,Car,Fine without high winds
Unclassified,09-Dec-12,24,Passenger,Slight,429795,433796,Daylight: street lights present,2,120534836,Dry,Female,1040,Car,Fine without high winds
Unclassified,09-Dec-12,23,Pedestrian,Serious,429985,433396,Darkness: street lighting unknown,1,120535837,Dry,Male,30,Car,Fine without high winds
Motorway,10-Dec-12,52,Driver,Slight,424093,427944,Daylight: street lights present,2,120536174,Dry,Male,1025,Car,Fine without high winds
Unclassified,10-Dec-12,24,Driver,Slight,428484,434447,Daylight: street lights present,2,120536698,Dry,Male,1530,Car,Fine without high winds
B,10-Dec-12,26,Driver,Slight,426515,435655,Darkness: street lights present and lit,2,120538464,Dry,Female,2250,Car,Fine without high winds
A,11-Dec-12,47,Driver,Slight,430736,424544,Daylight: street lights present,2,120537759,Wet / Damp,Female,1309,Car,Fine without high winds
A,11-Dec-12,56,Driver,Slight,430736,424544,Daylight: street lights present,2,120537759,Wet / Damp,Male,1309,Goods vehicle 3.5 tonnes mgw and under,Fine without high winds
A,11-Dec-12,23,Passenger,Slight,430736,424544,Daylight: street lights present,2,120537759,Wet / Damp,Female,1309,Car,Fine without high winds
A,11-Dec-12,43,Passenger,Slight,430736,424544,Daylight: street lights present,2,120537759,Wet / Damp,Female,1309,Car,Fine without high winds
Unclassified,11-Dec-12,30,Passenger,Slight,427713,436422,Daylight: street lights present,1,120537762,Dry,Female,907,Car,Fine without high winds
A,11-Dec-12,11,Pedestrian,Slight,423036,435903,Daylight: street lights present,1,120537774,Dry,Male,810,Car,Fine without high winds
Unclassified,11-Dec-12,95,Pedestrian,Slight,420766,441173,Daylight: street lights present,1,120538313,Dry,Male,1335,Car,Fine without high winds
A,11-Dec-12,41,Driver,Slight,430268,434452,Darkness: street lighting unknown,2,120538355,Dry,Male,1735,Pedal cycle,Fine without high winds
A,11-Dec-12,23,Driver,Slight,428961,429870,Darkness: street lights present and lit,2,120538491,Wet / Damp,Male,1730,Car,Other
Unclassified,11-Dec-12,20,Driver,Slight,425095,434944,Darkness: street lighting unknown,2,120538501,Dry,Male,1935,M/cycle 50cc and under,Fine without high winds
Unclassified,11-Dec-12,51,Driver,Slight,432486,434003,Darkness: street lights present and lit,1,120538720,Frost / Ice,Male,2320,Pedal cycle,Other
Unclassified,12-Dec-12,42,Driver,Slight,431359,433946,Daylight: street lights present,2,120539479,Wet / Damp,Male,1210,Goods vehicle 3.5 tonnes mgw and under,Fine without high winds
Unclassified,12-Dec-12,38,Driver,Slight,431359,433946,Daylight: street lights present,2,120539479,Wet / Damp,Female,1210,Bus or coach (17 or more passenger seats),Fine without high winds
Unclassified,12-Dec-12,54,Passenger,Slight,431359,433946,Daylight: street lights present,2,120539479,Wet / Damp,Female,1210,Bus or coach (17 or more passenger seats),Fine without high winds
Unclassified,12-Dec-12,36,Pedestrian,Slight,431887,435687,Daylight: street lights present,1,120539521,Dry,Female,1120,Car,Fine without high winds
A,12-Dec-12,47,Driver,Slight,424928,427640,Daylight: street lights present,5,120539728,Wet / Damp,Male,1436,Car,Fine without high winds
A,12-Dec-12,21,Driver,Slight,424928,427640,Daylight: street lights present,5,120539728,Wet / Damp,Female,1436,Car,Fine without high winds
A,12-Dec-12,34,Driver,Slight,424928,427640,Daylight: street lights present,5,120539728,Wet / Damp,Male,1436,Other Vehicle ,Fine without high winds
Unclassified,12-Dec-12,46,Driver,Slight,427195,433519,Darkness: street lights present and lit,2,120539989,Wet / Damp,Male,1730,Car,Fine without high winds
Unclassified,12-Dec-12,35,Driver,Slight,427195,433519,Darkness: street lights present and lit,2,120539989,Wet / Damp,Male,1730,Car,Fine without high winds
A,13-Dec-12,39,Driver,Slight,423045,437647,Darkness: street lighting unknown,2,120540529,Dry,Male,735,Pedal cycle,Fine without high winds
A,13-Dec-12,52,Driver,Slight,421247,435538,Darkness: street lights present and lit,2,120540548,Wet / Damp,Male,655,Car,Fog or mist – if hazard
A,13-Dec-12,41,Driver,Slight,421247,435538,Darkness: street lights present and lit,2,120540548,Wet / Damp,Female,655,Car,Fog or mist – if hazard
Unclassified,13-Dec-12,52,Driver,Slight,427605,434628,Darkness: street lighting unknown,2,120541633,Dry,Male,1800,Car,Fine without high winds
A(M),13-Dec-12,40,Driver,Slight,429305,433678,Darkness: street lighting unknown,3,120541698,Dry,Male,2040,Car,Fine without high winds
A(M),13-Dec-12,31,Driver,Slight,429305,433678,Darkness: street lighting unknown,3,120541698,Dry,Male,2040,Car,Fine without high winds
Unclassified,13-Dec-12,29,Driver,Slight,434695,436727,Daylight: street lights present,2,120542951,Wet / Damp,Female,1515,Car,Fog or mist – if hazard
Unclassified,13-Dec-12,8,Passenger,Slight,434695,436727,Daylight: street lights present,2,120542951,Wet / Damp,Female,1515,Car,Fog or mist – if hazard
Motorway,13-Dec-12,41,Driver,Slight,431888,430494,Daylight: street lights present,2,120543009,Dry,Female,1625,Car,Fine without high winds
A(M),14-Dec-12,32,Driver,Slight,431245,433689,Darkness: street lighting unknown,4,120541911,Dry,Male,35,Car,Fine without high winds
Unclassified,14-Dec-12,41,Driver,Slight,432998,435278,Daylight: street lights present,2,120542020,Wet / Damp,Male,745,Car,Fine without high winds
A(M),14-Dec-12,36,Driver,Slight,441067,445546,Darkness: street lighting unknown,1,120542052,Wet / Damp,Male,645,Car,Fine without high winds
A(M),14-Dec-12,35,Driver,Slight,441067,445546,Darkness: street lighting unknown,2,120542062,Frost / Ice,Male,645,Car,Fine without high winds
Unclassified,14-Dec-12,25,Pedestrian,Slight,420807,441110,Daylight: street lights present,1,120542068,Dry,Male,915,Car,Fine without high winds
A(M),14-Dec-12,30,Driver,Slight,440907,447785,Darkness: no street lighting,9,120542287,Frost / Ice,Male,500,Goods vehicle 3.5 tonnes mgw and under,Other
A(M),14-Dec-12,41,Passenger,Slight,440907,447785,Darkness: no street lighting,9,120542287,Frost / Ice,Male,500,Goods vehicle 3.5 tonnes mgw and under,Other
A(M),14-Dec-12,46,Driver,Slight,440907,447785,Darkness: no street lighting,9,120542287,Frost / Ice,Male,500,Car,Other
Motorway,14-Dec-12,34,Driver,Slight,432354,426920,Darkness: street lights present and lit,1,120542604,Frost / Ice,Male,435,Car,Raining without high winds
Unclassified,14-Dec-12,42,Driver,Slight,427502,433806,Darkness: street lighting unknown,3,120542826,Dry,Male,1723,Car,Fine without high winds
Unclassified,14-Dec-12,62,Passenger,Slight,430253,433229,Daylight: street lights present,2,120542901,Dry,Female,1605,Taxi/Private hire car,Fine without high winds
Motorway,14-Dec-12,48,Driver,Slight,429479,432038,Darkness: street lights present and lit,3,120542995,Wet / Damp,Female,1915,Car,Raining without high winds
A,14-Dec-12,21,Passenger,Serious,432680,439360,Darkness: street lights present and lit,1,120543196,Wet / Damp,Male,2245,Car,Fine without high winds
Motorway,14-Dec-12,40,Driver,Slight,429157,431835,Darkness: street lights present and lit,3,120545548,Wet / Damp,Female,1940,Car,Fine without high winds
Motorway,14-Dec-12,9,Passenger,Slight,429157,431835,Darkness: street lights present and lit,3,120545548,Wet / Damp,Female,1940,Car,Fine without high winds
A,15-Dec-12,38,Driver,Slight,425458,432855,Daylight: street lights present,2,120543700,Dry,Male,935,Car,Fine without high winds
A,15-Dec-12,74,Driver,Slight,436099,435596,Darkness: street lights present and lit,1,120544422,Wet / Damp,Male,1615,Car,Fine without high winds
Unclassified,15-Dec-12,21,Passenger,Slight,425643,432996,Darkness: street lighting unknown,2,120544708,Dry,Male,2348,Car,Fine without high winds
Unclassified,15-Dec-12,27,Driver,Slight,428748,434071,Daylight: street lights present,2,120553805,Dry,Male,1555,Car,Fine without high winds
Unclassified,16-Dec-12,45,Driver,Slight,431530,433067,Daylight: street lights present,1,120545180,Wet / Damp,Female,1225,Car,Fine without high winds
Unclassified,16-Dec-12,25,Pedestrian,Slight,430241,433398,Darkness: street lighting unknown,1,120545685,Dry,Female,350,Car,Fine without high winds
Unclassified,16-Dec-12,14,Pedestrian,Slight,421454,433282,Darkness: street lights present and lit,1,120545712,Dry,Male,1640,Car,Fine without high winds
A,16-Dec-12,57,Driver,Slight,430477,432850,Darkness: street lights present and lit,2,120545766,Wet / Damp,Male,1545,Car,Fine without high winds
Unclassified,16-Dec-12,18,Pedestrian,Serious,430325,433290,Darkness: street lighting unknown,1,120545842,Dry,Male,308,Car,Fine without high winds
Unclassified,16-Dec-12,45,Driver,Slight,429728,427358,Daylight: street lights present,2,120546120,Dry,Male,1255,Motorcycle over 50cc and up to 125cc,Fine without high winds
Unclassified,16-Dec-12,7,Passenger,Slight,427517,440657,Daylight: street lights present,2,120546761,Wet / Damp,Male,1445,Car,Fine without high winds
Unclassified,16-Dec-12,12,Passenger,Slight,427517,440657,Daylight: street lights present,2,120546761,Wet / Damp,Male,1445,Car,Fine without high winds
A,17-Dec-12,49,Passenger,Slight,427950,426477,Darkness: street lights present and lit,2,120545912,Wet / Damp,Male,30,Car,Fine without high winds
A,18-Dec-12,20,Passenger,Slight,426918,439557,Darkness: street lighting unknown,2,120547883,Dry,Female,730,Car,Fine without high winds
Unclassified,18-Dec-12,48,Driver,Slight,432065,436086,Daylight: street lights present,3,120548703,Wet / Damp,Female,1530,Car,Fine without high winds
Unclassified,18-Dec-12,18,Pedestrian,Slight,429815,433404,Daylight: street lights present,2,120549240,Wet / Damp,Male,1312,Car,Fine without high winds
Unclassified,18-Dec-12,28,Driver,Slight,426339,439200,Darkness: street lights present and lit,1,120549337,Wet / Damp,Male,750,Car,Fine without high winds
Unclassified,18-Dec-12,3,Passenger,Slight,429970,435046,Daylight: street lights present,1,120549830,Dry,Male,1550,Bus or coach (17 or more passenger seats),Fine without high winds
Unclassified,18-Dec-12,11,Passenger,Slight,429970,435046,Daylight: street lights present,1,120549830,Dry,Female,1550,Bus or coach (17 or more passenger seats),Fine without high winds
A,18-Dec-12,45,Driver,Slight,419578,445131,Darkness: street lights present and lit,2,120550322,Wet / Damp,Female,1640,Car,Fine without high winds
Unclassified,18-Dec-12,9,Pedestrian,Slight,434356,428201,Darkness: street lighting unknown,1,120551110,Dry,Male,1740,Car,Fine without high winds
A,19-Dec-12,17,Pedestrian,Slight,430859,434153,Daylight: street lights present,1,120549758,Dry,Male,835,Car,Fine without high winds
Unclassified,19-Dec-12,17,Driver,Slight,436310,435750,Darkness: street lights present and lit,2,120550395,Wet / Damp,Female,1615,Car,Fine without high winds
Unclassified,19-Dec-12,19,Passenger,Slight,436310,435750,Darkness: street lights present and lit,2,120550395,Wet / Damp,Male,1615,Car,Fine without high winds
B,19-Dec-12,64,Passenger,Slight,427916,436605,Daylight: street lights present,1,120550413,Wet / Damp,Male,1120,Bus or coach (17 or more passenger seats),Raining with high winds
A,19-Dec-12,55,Driver,Serious,426801,438034,Darkness: street lights present and lit,2,120550470,Wet / Damp,Male,1736,Motorcycle over 125cc and up to 500cc,Raining without high winds
Unclassified,19-Dec-12,78,Driver,Serious,434853,428432,Darkness: street lights present and lit,1,120550571,Wet / Damp,Male,1800,Car,Raining without high winds
Motorway,19-Dec-12,58,Driver,Slight,442170,434550,Darkness: no street lighting,1,120550620,Wet / Damp,Female,2040,Car,Raining with high winds
B,20-Dec-12,27,Driver,Slight,428043,427808,Darkness: street lights present and lit,1,120550787,Wet / Damp,Male,15,Car,Raining without high winds
B,20-Dec-12,23,Passenger,Slight,428043,427808,Darkness: street lights present and lit,1,120550787,Wet / Damp,Male,15,Car,Raining without high winds
B,20-Dec-12,24,Passenger,Slight,428043,427808,Darkness: street lights present and lit,1,120550787,Wet / Damp,Male,15,Car,Raining without high winds
B,20-Dec-12,20,Passenger,Slight,428043,427808,Darkness: street lights present and lit,1,120550787,Wet / Damp,Male,15,Car,Raining without high winds
Unclassified,20-Dec-12,28,Driver,Slight,426976,432309,Darkness: street lights present and lit,2,120550961,Wet / Damp,Male,645,Pedal cycle,Raining without high winds
Unclassified,20-Dec-12,13,Pedestrian,Slight,429053,435489,Darkness: street lights present and lit,1,120551079,Wet / Damp,Female,825,Car,Raining without high winds
A,20-Dec-12,68,Pedestrian,Slight,419088,441936,Daylight: street lights present,1,120551667,Wet / Damp,Female,1015,Car,Raining without high winds
Unclassified,20-Dec-12,55,Driver,Serious,442550,447858,Daylight: street lights present,2,120551682,Wet / Damp,Male,1410,Car,Raining without high winds
Unclassified,20-Dec-12,13,Pedestrian,Slight,430104,431745,Daylight: street lights present,1,120551822,Wet / Damp,Female,1512,Car,Fine without high winds
Unclassified,20-Dec-12,19,Pedestrian,Serious,431299,434128,Darkness: street lighting unknown,1,120552030,Dry,Male,1820,Car,Fine without high winds
A,20-Dec-12,30,Driver,Slight,428280,429619,Darkness: street lights present and lit,2,120552143,Wet / Damp,Male,1800,Car,Raining without high winds
A,20-Dec-12,43,Driver,Slight,428961,433692,Darkness: street lighting unknown,4,120552363,Dry,Male,2318,Car,Fine without high winds
A,20-Dec-12,56,Passenger,Slight,428961,433692,Darkness: street lighting unknown,4,120552363,Dry,Female,2318,Car,Fine without high winds
A,20-Dec-12,23,Passenger,Slight,428961,433692,Darkness: street lighting unknown,4,120552363,Dry,Male,2318,Car,Fine without high winds
A,20-Dec-12,41,Driver,Slight,439300,432418,Darkness: street lighting unknown,2,120552874,Dry,Female,1800,Car,Fine without high winds
A,20-Dec-12,22,Driver,Slight,430099,431466,Daylight: street lights present,2,120552963,Dry,Female,1345,Pedal cycle,Fine without high winds
Unclassified,21-Dec-12,35,Driver,Slight,431419,434085,Daylight: street lights present,2,120552536,Dry,Male,800,Motorcycle over 50cc and up to 125cc,Fine without high winds
A,21-Dec-12,11,Pedestrian,Serious,430313,435991,Daylight: street lights present,1,120552752,Dry,Female,745,Car,Fine without high winds
A,21-Dec-12,49,Driver,Slight,428707,433140,Daylight: street lights present,3,120552876,Dry,Female,1300,Car,Fine without high winds
A,21-Dec-12,33,Driver,Slight,428707,433140,Daylight: street lights present,3,120552876,Dry,Female,1300,Car,Fine without high winds
Unclassified,21-Dec-12,61,Passenger,Slight,425651,433234,Daylight: street lights present,2,120553018,Dry,Female,1112,Taxi/Private hire car,Fine without high winds
Unclassified,21-Dec-12,24,Passenger,Slight,425651,433234,Daylight: street lights present,2,120553018,Dry,Male,1112,Taxi/Private hire car,Fine without high winds
Motorway,21-Dec-12,25,Driver,Slight,433109,425916,Darkness: street lights present and lit,2,120553134,Wet / Damp,Male,730,Car,Raining without high winds
A,21-Dec-12,73,Driver,Slight,421157,444944,Daylight: street lights present,2,120553376,Wet / Damp,Female,1407,Car,Fine without high winds
A,21-Dec-12,80,Passenger,Slight,421157,444944,Daylight: street lights present,2,120553376,Wet / Damp,Male,1407,Agricultural vehicle (includes diggers etc.),Fine without high winds
A,21-Dec-12,43,Pedestrian,Slight,430100,431544,Daylight: street lights present,1,120553384,Wet / Damp,Female,1345,Car,Fine without high winds
Unclassified,21-Dec-12,12,Driver,Slight,433448,434803,Daylight: street lights present,2,120553485,Wet / Damp,Male,1555,Pedal cycle,Fine without high winds
Unclassified,21-Dec-12,19,Driver,Slight,425709,435403,Darkness: street lights present and lit,2,120553801,Dry,Male,2120,M/cycle 50cc and under,Fine without high winds
Unclassified,21-Dec-12,31,Pedestrian,Serious,430242,433217,Darkness: street lights present and lit,1,120553815,Dry,Male,2220,Car,Fine without high winds
A,22-Dec-12,34,Driver,Slight,424184,433968,Daylight: street lights present,1,120554442,Wet / Damp,Male,800,Goods vehicle 3.5 tonnes mgw and under,Raining without high winds
A,22-Dec-12,21,Driver,Slight,425886,429879,Daylight: street lights present,2,120554538,5,Female,1245,Car,Raining without high winds
A,22-Dec-12,54,Driver,Slight,425886,429879,Daylight: street lights present,2,120554538,5,Male,1245,Car,Raining without high winds
Unclassified,22-Dec-12,18,Driver,Slight,424514,435624,Darkness: street lights present and lit,2,120554976,Wet / Damp,Male,1745,Motorcycle over 50cc and up to 125cc,Raining without high winds
Unclassified,22-Dec-12,42,Driver,Slight,434140,433881,Darkness: street lights present and lit,2,120555117,Wet / Damp,Male,1930,Car,Raining without high winds
Unclassified,22-Dec-12,47,Passenger,Slight,434140,433881,Darkness: street lights present and lit,2,120555117,Wet / Damp,Female,1930,Car,Raining without high winds
A,22-Dec-12,67,Driver,Slight,436914,433618,Darkness: street lighting unknown,2,120555690,Dry,Female,1935,Motorcycle over 50cc and up to 125cc,Fine without high winds
Unclassified,22-Dec-12,21,Pedestrian,Slight,437031,435293,Darkness: street lights present and lit,1,120557192,Wet / Damp,Female,415,Taxi/Private hire car,Raining without high winds
Motorway,24-Dec-12,44,Driver,Slight,427710,431041,Daylight: street lights present,2,120557339,Dry,Male,1410,Car,Fine without high winds
Motorway,24-Dec-12,43,Driver,Slight,427710,431041,Daylight: street lights present,2,120557339,Dry,Male,1410,Car,Fine without high winds
Unclassified,24-Dec-12,30,Passenger,Slight,431887,435513,Darkness: street lighting unknown,2,120557374,Dry,Male,1950,Car,Fine without high winds
Unclassified,24-Dec-12,67,Pedestrian,Serious,420530,440558,Darkness: street lights present and lit,1,120557569,Wet / Damp,Female,2230,Car,Fine without high winds
Unclassified,24-Dec-12,30,Driver,Slight,435721,428974,Daylight: street lights present,2,120559283,Dry,Female,1308,Car,Fine without high winds
A,24-Dec-12,17,Driver,Slight,423749,435648,Daylight: street lights present,1,120559322,Wet / Damp,Female,1045,Car,Raining without high winds
A,24-Dec-12,51,Passenger,Slight,423749,435648,Daylight: street lights present,1,120559322,Wet / Damp,Male,1045,Car,Raining without high winds
Unclassified,24-Dec-12,25,Driver,Slight,427174,435295,Darkness: street lights present and lit,2,120560099,Dry,Male,135,Car,Fine without high winds
Unclassified,24-Dec-12,19,Passenger,Slight,427174,435295,Darkness: street lights present and lit,2,120560099,Dry,Female,135,Car,Fine without high winds
A,24-Dec-12,26,Driver,Slight,430476,435601,Darkness: street lights present and lit,2,130031517,Wet / Damp,Male,2050,Car,Fine without high winds
Unclassified,25-Dec-12,19,Driver,Slight,427233,430508,Daylight: street lights present,1,120557987,Wet / Damp,Male,1200,Car,Fine without high winds
Unclassified,25-Dec-12,21,Passenger,Slight,427233,430508,Daylight: street lights present,1,120557987,Wet / Damp,Female,1200,Car,Fine without high winds
Unclassified,26-Dec-12,27,Passenger,Slight,431885,435068,Darkness: street lighting unknown,3,120558095,Dry,Female,42,Car,Fine without high winds
Unclassified,26-Dec-12,21,Pedestrian,Slight,430987,433512,Darkness: street lighting unknown,1,120558142,Dry,Male,500,Car,Fine without high winds
Unclassified,26-Dec-12,18,Driver,Slight,425027,435114,Darkness: street lighting unknown,1,120558590,Dry,Male,1935,Car,Fine without high winds
Unclassified,26-Dec-12,19,Passenger,Slight,425027,435114,Darkness: street lighting unknown,1,120558590,Dry,Male,1935,Car,Fine without high winds
A,27-Dec-12,42,Driver,Slight,419913,441054,Daylight: street lights present,2,120559202,Dry,Male,1100,Car,Fine without high winds
A,27-Dec-12,30,Driver,Slight,419913,441054,Daylight: street lights present,2,120559202,Dry,Female,1100,Car,Fine without high winds
Unclassified,27-Dec-12,27,Pedestrian,Slight,430388,433607,Daylight: street lights present,1,120559644,Dry,Female,1138,Car,Fine without high winds
Unclassified,28-Dec-12,9,Pedestrian,Slight,432446,434846,Darkness: street lights present and lit,1,120560892,Wet / Damp,Male,1625,Car,Raining without high winds
A,28-Dec-12,10,Pedestrian,Slight,432741,433884,Daylight: street lights present,1,120561372,Dry,Female,1148,Car,Fine without high winds
A,28-Dec-12,42,Pedestrian,Serious,432741,433884,Daylight: street lights present,1,120561372,Dry,Female,1148,Car,Fine without high winds
Unclassified,30-Dec-12,43,Pedestrian,Slight,430623,433238,Darkness: street lighting unknown,1,120562510,Dry,Male,310,Car,Fine without high winds
A,30-Dec-12,34,Driver,Slight,428046,434303,Daylight: street lights present,3,120563061,Dry,Female,1444,Car,Fine without high winds
A,30-Dec-12,32,Driver,Slight,428046,434303,Daylight: street lights present,3,120563061,Dry,Female,1444,Car,Fine without high winds
A,30-Dec-12,53,Pedestrian,Serious,440429,433559,Daylight: street lights present,1,130001630,Wet / Damp,Male,1250,Car,Fine without high winds
A,31-Dec-12,58,Driver,Slight,436966,433615,Daylight: street lights present,3,120564262,Dry,Female,1505,Car,Fine without high winds
A,31-Dec-12,70,Driver,Slight,436966,433615,Daylight: street lights present,3,120564262,Dry,Female,1505,Car,Fine without high winds
A,31-Dec-12,42,Passenger,Slight,436966,433615,Daylight: street lights present,3,120564262,Dry,Male,1505,Car,Fine without high winds
A,31-Dec-12,81,Passenger,Slight,431973,433594,Daylight: street lights present,1,120564293,Wet / Damp,Female,1615,Bus or coach (17 or more passenger seats),Fine without high winds
Unclassified,31-Dec-12,33,Pedestrian,Slight,430186,433934,Darkness: street lighting unknown,1,120564333,Wet / Damp,Male,1713,Car,Fine without high winds
Unclassified,31-Dec-12,13,Pedestrian,Slight,431894,434920,Darkness: street lights present and lit,1,120564495,Wet / Damp,Male,1940,Car,Fine without high winds
Unclassified,31-Dec-12,32,Driver,Slight,426294,426829,Darkness: street lighting unknown,2,130000038,Dry,Male,2335,Car,Fine without high winds
Unclassified,15-Jan-13,42,Driver,Slight,426983,433434,Daylight: street lights present,3,130021591,Dry,Male,1545,Car,Fine without high winds
A,15-Jan-13,78,Passenger,Slight,424366,445442,Darkness: street lights present and lit,2,130021629,Frost / Ice,Female,1640,Car,Other
Unclassified,13-Jan-13,34,Driver,Serious,424481,435632,Daylight: street lights present,2,130021704,Wet / Damp,Male,1345,Motorcycle over 125cc and up to 500cc,Fine without high winds
Unclassified,15-Jan-13,47,Pedestrian,Slight,430284,432421,Daylight: street lights present,1,130022047,Dry,Male,1313,Car,Fine without high winds
Unclassified,16-Jan-13,65,Passenger,Serious,430374,433485,Darkness: street lights present and lit,1,130023385,Dry,Male,2015,Bus or coach (17 or more passenger seats),Fine without high winds
Unclassified,16-Jan-13,30,Driver,Slight,429794,433923,Darkness: street lights present and lit,2,130023395,Wet / Damp,Male,2100,Car,Fine with high winds
Unclassified,16-Jan-13,32,Driver,Slight,429794,433923,Darkness: street lights present and lit,2,130023395,Wet / Damp,Female,2100,Car,Fine with high winds
Unclassified,16-Jan-13,26,Driver,Slight,433157,435244,Daylight: street lights present,2,130023631,Dry,Male,1305,Car,Fine without high winds
Unclassified,16-Jan-13,70,Driver,Slight,433157,435244,Daylight: street lights present,2,130023631,Dry,Male,1305,Car,Fine without high winds
Unclassified,16-Jan-13,60,Passenger,Slight,433157,435244,Daylight: street lights present,2,130023631,Dry,Female,1305,Car,Fine without high winds
Unclassified,16-Jan-13,39,Driver,Slight,436252,435822,Daylight: street lights present,2,130024157,Dry,Male,1630,Car,Fine without high winds
A,18-Jan-13,35,Driver,Slight,425888,429880,Darkness: street lighting unknown,2,130025429,Dry,Male,710,Pedal cycle,Fine without high winds
Unclassified,18-Jan-13,82,Driver,Slight,434857,428434,Daylight: street lights present,1,130025839,Frost / Ice,Male,1250,Car,Fine without high winds
Unclassified,18-Jan-13,27,Driver,Slight,430877,433880,Darkness: street lights present and lit,1,130026506,Snow,Male,2100,Car,Snowing without high winds
Unclassified,18-Jan-13,20,Passenger,Slight,430877,433880,Darkness: street lights present and lit,1,130026506,Snow,Male,2100,Car,Snowing without high winds
Unclassified,20-Jan-13,25,Driver,Slight,434813,427913,Darkness: street lighting unknown,1,130028329,Frost / Ice,Male,1,Car,Fine without high winds
Unclassified,20-Jan-13,38,Passenger,Slight,434813,427913,Darkness: street lighting unknown,1,130028329,Frost / Ice,Female,1,Car,Fine without high winds
Unclassified,20-Jan-13,27,Passenger,Slight,434813,427913,Darkness: street lighting unknown,1,130028329,Frost / Ice,Female,1,Car,Fine without high winds
A,20-Jan-13,35,Driver,Slight,424128,444004,Daylight: street lights present,2,130028445,Frost / Ice,Male,1044,Pedal cycle,Fine without high winds
Unclassified,19-Jan-13,42,Pedestrian,Slight,431857,437833,Daylight: street lights present,1,130029418,Dry,Female,1350,Car,Fine without high winds
Motorway,21-Jan-13,27,Passenger,Slight,426701,429825,Daylight: street lights present,1,130029491,Wet / Damp,Female,1151,Car,Fine without high winds
Motorway,21-Jan-13,1,Passenger,Slight,426701,429825,Daylight: street lights present,1,130029491,Wet / Damp,Male,1151,Car,Fine without high winds
