Latitude,Longitude
53.7123141555,-1.5432671191
53.7123141555,-1.5432671191
53.8158154879,-1.6023194174
53.8209682862,-1.5819461764
53.8209682862,-1.5819461764
53.799399128,-1.4811670071
53.799399128,-1.4811670071
53.8347000376,-1.651768009
53.7409510294,-1.5137105769
53.7409510294,-1.5137105769
53.7409510294,-1.5137105769
53.7409510294,-1.5137105769
53.8555300918,-1.6827759176
53.8059562838,-1.6841825102
53.8425078988,-1.5580836738
53.846084388,-1.4898922288
53.846084388,-1.4898922288
53.8033584094,-1.5034840332
53.8033584094,-1.5034840332
53.7685740566,-1.4174478996
53.8101468013,-1.5401851477
53.7994883293,-1.5087676844
53.8774705485,-1.7154801594
53.8085607514,-1.3865070292
53.8074958335,-1.4684935768
53.8176476016,-1.3390905058
53.7438176765,-1.4530732693
53.8014658792,-1.489431544
53.8014658792,-1.489431544
53.8014658792,-1.489431544
53.8014658792,-1.489431544
53.8025419499,-1.3562426445
53.8025419499,-1.3562426445
53.7619000514,-1.5043673544
53.8074002363,-1.5137775213
53.779694089,-1.559016624
53.7731917042,-1.5653056534
53.7978871142,-1.5401825509
53.7481763562,-1.4854373397
53.7252277932,-1.5846387
53.7252277932,-1.5846387
53.8063497356,-1.4594122525
53.8314646335,-1.4971654135
53.7284286742,-1.4508326503
53.8145524917,-1.5405925915
53.7971025875,-1.596970261
53.7971025875,-1.596970261
53.7947263281,-1.6534348569
53.82386577,-1.669509973
53.7803641748,-1.3605276713
53.7803641748,-1.3605276713
53.8077976423,-1.5076379884
53.7581112559,-1.439964871
53.8114469789,-1.484146801
53.8114469789,-1.484146801
53.8114469789,-1.484146801
53.8114469789,-1.484146801
53.8114469789,-1.484146801
53.8114469789,-1.484146801
53.8076929572,-1.6492886967
53.7322798924,-1.499016138
53.8082881101,-1.4647478789
53.7985061021,-1.4783541441
53.7821260224,-1.5483222807
53.7821260224,-1.5483222807
53.7821260224,-1.5483222807
53.8037472408,-1.547254954
53.80293382,-1.5581048751
53.80293382,-1.5581048751
53.80293382,-1.5581048751
53.8071780885,-1.5635421383
53.8088253577,-1.5717101963
53.7882876066,-1.5354455512
53.8122633761,-1.5343301561
53.8068645714,-1.6843730954
53.8283432859,-1.6270715536
53.8283432859,-1.6270715536
53.8283432859,-1.6270715536
53.8283432859,-1.6270715536
53.7922375831,-1.6125913511
53.8017720833,-1.6349595464
53.802134223,-1.6358218552
53.7972300757,-1.3889192384
53.8741063675,-1.7594884988
53.8741063675,-1.7594884988
53.742966164,-1.5834328873
53.777938605,-1.5558179849
53.777938605,-1.5558179849
53.8143586123,-1.6802465213
53.8143586123,-1.6802465213
53.8694493888,-1.7253587181
53.8090263638,-1.5091877493
53.8283558252,-1.5895906528
53.8390067177,-1.5616613578
53.8010307918,-1.5235075801
53.7624223556,-1.4896016528
53.7624223556,-1.4896016528
53.798686131,-1.5615503095
53.8786470032,-1.6040663705
53.8141724304,-1.5446366923
53.8141724304,-1.5446366923
53.8291737856,-1.4995781713
53.8291737856,-1.4995781713
53.8291737856,-1.4995781713
53.8291737856,-1.4995781713
53.7884985679,-1.5094120791
53.8416580876,-1.3413266222
53.7783826327,-1.5377400615
53.7475989551,-1.6372031015
53.7109851591,-1.5459631577
53.7480466679,-1.6426279079
53.736753746,-1.5227033187
53.8795769113,-1.3763566159
53.773338682,-1.5467323623
53.7730610945,-1.5470084637
53.7976254634,-1.5170483477
53.808083036,-1.5387499038
53.8226671339,-1.4180045709
53.8343314661,-1.6456018929
53.8175897462,-1.508647266
53.9259781754,-1.3774014781
53.8484797645,-1.5518495421
53.798270783,-1.5863316715
53.798270783,-1.5863316715
53.8654761705,-1.6988650022
53.8221790854,-1.578637762
53.8360112097,-1.5560854212
53.8199831058,-1.5317686693
53.8199831058,-1.5317686693
53.7543938656,-1.5240655928
53.7543938656,-1.5240655928
53.748982807,-1.5568511684
53.8237212474,-1.5801262275
